location,date,sales
9708,2017-12-01,5371.93333333333
9708,2017-12-02,6789.4
9708,2017-12-03,2437.08
9708,2017-12-04,1395.7
9708,2017-12-05,2020.3
9708,2017-12-06,2246.53333333333
9708,2017-12-07,3401.2
9708,2017-12-08,6707.23333333333
9708,2017-12-09,8816.6
9708,2017-12-10,1850.76666666667
9708,2017-12-11,1559.98
9708,2017-12-12,2012.78
9708,2017-12-13,2155.91333333333
9708,2017-12-14,3171.16666666667
9708,2017-12-15,7074.36666666666
9708,2017-12-16,7146.69333333334
9708,2017-12-17,2603.74
9708,2017-12-18,2078.03333333333
9708,2017-12-19,3396.29333333333
9708,2017-12-20,3649.14666666667
9708,2017-12-21,4942.87333333333
9708,2017-12-22,8467.78
9708,2017-12-23,6773.7
9708,2017-12-24,4375.83333333333
9708,2017-12-27,3537.48
9708,2017-12-28,4435.61333333333
9708,2017-12-29,5362.66
9708,2017-12-30,4309.41333333333
9708,2017-12-31,4974.38
9708,2018-01-01,868.313333333334
9708,2018-01-02,1404.7
9708,2018-01-03,1520.88666666667
9708,2018-01-04,1245.61333333333
9708,2018-01-05,2293.64666666667
9708,2018-01-06,4758.76
9708,2018-01-07,1501.54
9708,2018-01-08,905.800000000001
9708,2018-01-09,990.633333333334
9708,2018-01-10,1102.01333333333
9708,2018-01-11,1358.66666666667
9708,2018-01-12,3182.16
9708,2018-01-13,4674.24666666667
9708,2018-01-14,1262.01333333333
9708,2018-01-15,657.3
9708,2018-01-16,1449.43333333333
9708,2018-01-17,1275.12666666667
9708,2018-01-18,1220.26666666667
9708,2018-01-19,2952.36666666667
9708,2018-01-20,5465.43333333333
9708,2018-01-21,1632.2
9708,2018-01-22,91.6
9708,2018-01-23,1029.56666666667
9708,2018-01-24,1257.55333333333
9708,2018-01-25,1292.36666666667
9708,2018-01-26,4214.16666666667
9708,2018-01-27,7671.18
9708,2018-01-28,1820.14666666667
9708,2018-01-29,1253.36666666667
9708,2018-01-30,1543.43333333333
9708,2018-01-31,1261.5
9708,2018-02-01,1464.81333333333
